figure,panel,point_id,pixel_x,pixel_y,t2_s,delta_h_kj_mol,marker_color,mean_rgb,core_radius_px,overlap_note,source
Fig2,b,1,222.0,114.0,0.1,0.19326,blue/purple,"(51, 24, 203)",9.85,visible_marker_core,distance_transform_marker_core_digitization
Fig2,b,2,222.0,140.0,0.1,0.22247,green,"(154, 210, 164)",6.71,visible_marker_core,distance_transform_marker_core_digitization
Fig2,b,3,222.0,180.0,0.1,0.26742,orange/yellow,"(255, 181, 106)",9.22,visible_marker_core,distance_transform_marker_core_digitization
Fig2,b,4,222.0,241.0,0.1,0.33596,orange/yellow,"(240, 227, 67)",7.21,visible_marker_core,distance_transform_marker_core_digitization
Fig2,b,5,222.0,463.0,0.1,0.58539,red/orange,"(255, 50, 0)",9.22,visible_marker_core,distance_transform_marker_core_digitization
Fig2,b,6,222.5,159.0,0.10094,0.24382,blue/purple,"(147, 147, 255)",7.0,visible_marker_core,distance_transform_marker_core_digitization
Fig2,b,7,257.0,181.0,0.19204,0.26854,orange/yellow,"(255, 181, 106)",7.81,visible_marker_core,distance_transform_marker_core_digitization
Fig2,b,8,258.0,145.0,0.19566,0.22809,blue/purple,"(36, 48, 232)",9.43,visible_marker_core,distance_transform_marker_core_digitization
Fig2,b,9,258.0,160.0,0.19566,0.24494,green,"(154, 210, 164)",6.71,visible_marker_core,distance_transform_marker_core_digitization
Fig2,b,10,258.0,236.0,0.19566,0.33034,orange/yellow,"(240, 227, 67)",7.07,visible_marker_core,distance_transform_marker_core_digitization
Fig2,b,11,258.0,449.0,0.19566,0.56966,red/orange,"(255, 50, 0)",9.0,visible_marker_core,distance_transform_marker_core_digitization
Fig2,b,12,305.0,213.0,0.46996,0.30449,orange/yellow,"(254, 181, 106)",8.06,visible_marker_core,distance_transform_marker_core_digitization
Fig2,b,13,306.0,184.0,0.47881,0.27191,"rgb(123,83,143)","(123, 83, 143)",9.49,visible_marker_core,distance_transform_marker_core_digitization
Fig2,b,14,306.5,439.0,0.48329,0.55843,red/orange,"(255, 50, 0)",5.0,visible_marker_core,distance_transform_marker_core_digitization
Fig2,b,15,307.0,237.5,0.48782,0.33202,orange/yellow,"(240, 227, 66)",7.0,visible_marker_core,distance_transform_marker_core_digitization
Fig2,b,16,343.0,253.0,0.95446,0.34944,orange/yellow,"(255, 181, 106)",9.22,visible_marker_core,distance_transform_marker_core_digitization
Fig2,b,17,349.5,239.0,1.07743,0.33371,"rgb(159,150,163)","(159, 150, 163)",5.0,visible_marker_core,distance_transform_marker_core_digitization
Fig2,b,18,376.5,335.0,1.78243,0.44157,magenta,"(247, 85, 245)",6.71,visible_marker_core,distance_transform_marker_core_digitization
Fig2,b,19,378.33,367.67,1.84441,0.47828,blue/purple,"(87, 106, 233)",5.39,visible_marker_core,distance_transform_marker_core_digitization
Fig2,b,20,379.0,299.0,1.86748,0.40112,orange/yellow,"(241, 222, 70)",9.22,visible_marker_core,distance_transform_marker_core_digitization
Fig2,b,21,379.0,412.0,1.86748,0.52809,red/orange,"(255, 50, 0)",9.0,visible_marker_core,distance_transform_marker_core_digitization
Fig2,b,22,380.0,313.0,1.90262,0.41685,green,"(184, 209, 121)",8.0,visible_marker_core,distance_transform_marker_core_digitization
Fig2,b,23,425.0,370.0,4.40276,0.4809,magenta,"(218, 93, 238)",6.08,visible_marker_core,distance_transform_marker_core_digitization
Fig2,b,24,426.0,350.0,4.48561,0.45843,orange/yellow,"(219, 208, 100)",6.71,visible_marker_core,distance_transform_marker_core_digitization
Fig2,b,25,426.0,382.0,4.48561,0.49438,blue/purple,"(98, 109, 234)",5.1,visible_marker_core,distance_transform_marker_core_digitization
Fig2,b,26,427.0,416.5,4.57003,0.53315,red/orange,"(255, 50, 0)",9.22,visible_marker_core,distance_transform_marker_core_digitization
Fig2,b,27,460.0,391.0,8.45523,0.50449,orange/yellow,"(219, 199, 108)",5.0,visible_marker_core,distance_transform_marker_core_digitization
Fig2,b,28,464.0,420.0,9.10991,0.53708,red/orange,"(254, 50, 6)",9.49,visible_marker_core,distance_transform_marker_core_digitization
Fig2,b,29,499.0,446.0,17.49504,0.56629,"rgb(238,72,80)","(238, 72, 80)",9.22,visible_marker_core,distance_transform_marker_core_digitization
Fig2,b,30,503.0,426.0,18.84967,0.54382,magenta,"(216, 104, 224)",5.66,visible_marker_core,distance_transform_marker_core_digitization
Fig2,b,31,540.0,482.0,37.57498,0.60674,"rgb(163,117,190)","(163, 117, 190)",5.0,visible_marker_core,distance_transform_marker_core_digitization
Fig2,b,32,553.0,481.0,47.88086,0.60562,red/orange,"(238, 83, 47)",5.1,visible_marker_core,distance_transform_marker_core_digitization
Fig2,b,33,582.5,519.0,82.99049,0.64831,red/orange,"(221, 72, 43)",7.07,converged_overlap_cluster,distance_transform_marker_core_digitization
Fig2,b,34,622.0,533.0,173.32707,0.66404,red/orange,"(234, 63, 32)",9.49,converged_overlap_cluster,distance_transform_marker_core_digitization
Fig2,b,35,669.0,553.0,416.32568,0.68652,red/orange,"(251, 52, 4)",8.25,converged_overlap_cluster,distance_transform_marker_core_digitization
Fig2,b,36,704.0,551.0,799.52861,0.68427,red/orange,"(247, 55, 11)",10.44,converged_overlap_cluster,distance_transform_marker_core_digitization
Fig2,b,37,736.0,550.5,1451.92211,0.68371,red/orange,"(237, 66, 38)",6.0,converged_overlap_cluster,distance_transform_marker_core_digitization
